mes_ocu,dia_sem_ocu,hora_ocu,depto_ocu,zona_ocu,sexo_per,edad_per,estado_con,tipo_veh,color_veh,modelo_veh,tipo_eve,year
Diciembre,Viernes,2,Quetzaltenango,99,Hombre,22,Ignorado,Motocicleta,Rojo,2008,Colision,2010
Diciembre,Lunes,2,Izabal,99,Hombre,19,Ignorado,Motocicleta,Negro,9999,Colision,2010
Junio,Miercoles,2,Guatemala,11,Hombre,28,No Ebrio,Motocicleta,Rojo,2007,Choque,2010
Abril,Jueves,2,San Marcos,99,Hombre,27,Ebrio,Pick-up,Rojo,1984,Choque,2010
Diciembre,Sabado,2,Guatemala,12,Hombre,29,Ignorado,Pick-up,Blanco,9999,Choque,2010
Marzo,Viernes,2,Guatemala,13,Hombre,38,Ignorado,Motocicleta,Rojo,9999,Choque,2010
Junio,Jueves,2,El Progreso,99,Hombre,45,No Ebrio,Cabezal,Azul,9999,Caida,2010
Septiembre,Sabado,2,Chimaltenango,99,Hombre,40,No Ebrio,Pick-up,Blanco,9999,Caida,2010
Octubre,Lunes,2,Sacatepequez,99,Hombre,48,No Ebrio,Camion,Azul,9999,Caida,2010
Junio,Domingo,2,El Progreso,99,Hombre,38,No Ebrio,Pick-up,Negro,9999,Caida,2010
Julio,Miercoles,2,San Marcos,99,Hombre,62,No Ebrio,Pick-up,Gris,9999,Caida,2010
Agosto,Lunes,2,Baja Verapaz,99,Hombre,33,No Ebrio,Motocicleta,Negro,9999,Choque,2010
Agosto,Lunes,3,Guatemala,1,Hombre,27,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Junio,Domingo,3,Escuintla,99,Hombre,51,No Ebrio,Cabezal,Anaranjado,2002,Colision,2010
Enero,Lunes,3,Escuintla,99,Hombre,25,Ignorado,Motocicleta,Negro,9999,Colision,2010
Octubre,Domingo,3,Izabal,99,Hombre,28,No Ebrio,Motocicleta,Azul,9999,Colision,2010
Mayo,Miercoles,3,Izabal,99,Hombre,36,No Ebrio,Pick-up,Negro,9999,Vuelco,2010
Julio,Viernes,3,Guatemala,1,Hombre,30,Ignorado,Motocicleta,Ignorado,9999,Choque,2010
Julio,Sabado,3,Guatemala,7,Hombre,24,Ebrio,Automovil,Gris,9999,Choque,2010
Mayo,Domingo,4,Guatemala,99,Hombre,30,Ignorado,Motocicleta,Negro,9999,Colision,2010
Agosto,Miercoles,4,Escuintla,99,Hombre,25,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Mayo,Sabado,4,Chiquimula,99,Hombre,22,No Ebrio,Motocicleta,Blanco,2009,Colision,2010
Enero,Sabado,4,Izabal,99,Hombre,38,Ignorado,Bus extraurbano,Rojo,2000,Colision,2010
Marzo,Sabado,4,Suchitepequez,99,Ignorado,999,Ignorado,Camion,Verde,9999,Colision,2010
Julio,Sabado,4,Guatemala,6,Hombre,24,No Ebrio,Motocicleta,Rojo,2007,Colision,2010
Julio,Viernes,4,Izabal,99,Hombre,28,Ignorado,Motocicleta,Azul,9999,Colision,2010
Octubre,Domingo,4,Guatemala,3,Hombre,30,No Ebrio,Automovil,Amarillo,9999,Choque,2010
Mayo,Jueves,4,Izabal,99,Hombre,30,Ignorado,Motocicleta,Rojo,9999,Choque,2010
Noviembre,Jueves,4,Izabal,99,Hombre,31,Ignorado,Motocicleta,Ignorado,9999,Choque,2010
Febrero,Jueves,4,Guatemala,13,Hombre,28,Ignorado,Panel,Blanco,9999,Choque,2010
Diciembre,Jueves,4,Guatemala,99,Hombre,24,Ebrio,Automovil,Azul,9999,Choque,2010
Agosto,Lunes,4,Sacatepequez,99,Hombre,37,No Ebrio,Automovil,Anaranjado,9999,Choque,2010
Abril,Jueves,5,Guatemala,99,Hombre,28,No Ebrio,Pick-up,Rojo,9999,Caida,2010
Abril,Viernes,5,Peten,99,Hombre,21,No Ebrio,Motocicleta,Negro,2006,Choque,2010
Marzo,Jueves,6,Jalapa,99,Hombre,28,Ignorado,Motocicleta,Ignorado,9999,Colision,2010
Febrero,Miercoles,6,Guatemala,1,Hombre,35,Ignorado,Bus extraurbano,Ignorado,9999,Colision,2010
Diciembre,Miercoles,6,Guatemala,12,Hombre,30,Ignorado,Motocicleta,Azul,9999,Colision,2010
Noviembre,Domingo,6,Escuintla,99,Hombre,33,No Ebrio,Cabezal,Azul,1997,Colision,2010
Octubre,Sabado,6,Guatemala,99,Mujer,60,No Ebrio,Automovil,Rojo,9999,Colision,2010
Noviembre,Lunes,6,Escuintla,99,Hombre,999,No Ebrio,Motocicleta,Anaranjado,9999,Colision,2010
Julio,Jueves,6,Chimaltenango,99,Hombre,28,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Mayo,Martes,6,Chimaltenango,99,Ignorado,999,Ignorado,Bus urbano,Anaranjado,9999,Colision,2010
Enero,Domingo,6,Escuintla,99,Hombre,23,Ignorado,Motocicleta,Rojo,2008,Colision,2010
Enero,Domingo,6,Santa Rosa,99,Hombre,44,No Ebrio,Pick-up,Azul,1999,Colision,2010
Mayo,Sabado,6,Zacapa,99,Hombre,30,No Ebrio,Automovil,Verde,1995,Colision,2010
Noviembre,Jueves,6,Escuintla,99,Hombre,46,Ignorado,Pick-up,Negro,9999,Choque,2010
Agosto,Domingo,6,Santa Rosa,99,Hombre,29,Ignorado,Motocicleta,Rojo,2005,Choque,2010
Junio,Sabado,6,Baja Verapaz,99,Hombre,30,No Ebrio,Motocicleta,Rojo,9999,Choque,2010
Noviembre,Domingo,6,Quiche,99,Hombre,31,No Ebrio,Pick-up,Ignorado,9999,Caida,2010
Febrero,Domingo,6,Santa Rosa,99,Ignorado,999,Ignorado,Motocicleta,Ignorado,9999,Caida,2010
Mayo,Sabado,6,Guatemala,5,Hombre,30,No Ebrio,Automovil,Ignorado,2002,Choque,2010
Abril,Miercoles,6,Jutiapa,99,Hombre,63,No Ebrio,Ignorado,Ignorado,9999,Choque,2010
Junio,Jueves,7,Jutiapa,99,Hombre,23,No Ebrio,Camion,Blanco,2007,Colision,2010
Noviembre,Miercoles,7,Retalhuleu,99,Hombre,64,Ignorado,Motocicleta,Azul,2007,Colision,2010
Octubre,Lunes,7,Quiche,99,Hombre,45,No Ebrio,Motocicleta,Ignorado,9999,Colision,2010
Diciembre,Martes,7,Guatemala,12,Hombre,25,Ignorado,Motocicleta,Gris,2008,Colision,2010
Febrero,Domingo,7,Quiche,99,Hombre,999,Ignorado,Microbus,Azul,2007,Colision,2010
Noviembre,Domingo,7,Guatemala,12,Hombre,24,No Ebrio,Motocicleta,Azul,9999,Colision,2010
Septiembre,Martes,7,Chimaltenango,99,Hombre,35,No Ebrio,Pick-up,Blanco,2005,Colision,2010
Marzo,Lunes,7,Guatemala,12,Hombre,22,Ignorado,Bus urbano,Rojo,9999,Vuelco,2010
Octubre,Miercoles,7,Guatemala,99,Hombre,25,No Ebrio,Camion,Blanco,9999,Choque,2010
Julio,Lunes,7,El Progreso,99,Hombre,22,No Ebrio,Automovil,Verde,1996,Caida,2010
Octubre,Viernes,7,Chimaltenango,99,Hombre,28,Ignorado,Pick-up,Anaranjado,2003,Caida,2010
Septiembre,Jueves,7,Peten,99,Hombre,27,No Ebrio,Motocicleta,Ignorado,9999,Choque,2010
Marzo,Martes,7,El Progreso,99,Ignorado,999,Ignorado,Microbus,Azul,2007,Vuelco,2010
Octubre,Sabado,7,Quetzaltenango,99,Hombre,18,Ignorado,Camion,Ignorado,9999,Vuelco,2010
Septiembre,Domingo,7,Guatemala,1,Ignorado,999,Ignorado,Microbus,Blanco,9999,Choque,2010
Marzo,Sabado,7,Quetzaltenango,99,Hombre,31,No Ebrio,Camion,Blanco,9999,Colision,2010
Mayo,Sabado,8,Guatemala,4,Hombre,37,Ignorado,Motocicleta,Negro,9999,Colision,2010
Septiembre,Miercoles,8,Guatemala,9,Hombre,29,No Ebrio,Bus urbano,Amarillo,1995,Colision,2010
Octubre,Sabado,8,Peten,99,Hombre,33,Ignorado,Motocicleta,Rojo,9999,Colision,2010
Junio,Miercoles,8,Escuintla,99,Hombre,50,No Ebrio,Motocicleta,Rojo,9999,Colision,2010
Noviembre,Lunes,8,Escuintla,99,Ignorado,999,Ignorado,Motocicleta,Ignorado,9999,Colision,2010
Marzo,Viernes,8,Zacapa,99,Ignorado,999,Ignorado,Ignorado,Ignorado,9999,Colision,2010
Abril,Jueves,8,Zacapa,99,Hombre,31,No Ebrio,Camion,Blanco,1997,Colision,2010
Julio,Sabado,8,El Progreso,99,Hombre,23,Ignorado,Motocicleta,Negro,2009,Colision,2010
