año_ocu,dia_ocu,hora_ocu,"g_hora","g_hora_5",mes_ocu,dia_sem_ocu,"depto_ocu","mupio_ocu","zona_ocu","sexo_per","edad_per","g_edad_80ymás","g_edad_60ymás","edad_quinquenales","estado_con","mayor_menor","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","causa_acc","year"
2020,8,"17","12:00 a 17:59","Tarde","Marzo","Domingo","Guatemala","Petapa ","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Motocicleta","Asia Hero","Rojo","2008","2000-2009","Colision","2020"
2020,8,"21","18:00 a 23:59","Noche","Marzo","Domingo","Guatemala","Villa Nueva","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Motocicleta","Suzuki","Azul","Ignorado","Ignorado","Derrape","2020"
2020,8,"22","18:00 a 23:59","Noche","Marzo","Domingo","Guatemala","Petapa ","Ignorada","Hombre","45","45-49","45-49","45 - 49","Ignorado","Mayor","Automóvil","Ignorado","Verde","Ignorado","Ignorado","Colision","2020"
2020,8,"22","18:00 a 23:59","Noche","Marzo","Domingo","Guatemala","Petapa ","Ignorada","Hombre","33","30-34","30-34","30 - 34","Ignorado","Mayor","Camioneta","Ignorado","Gris","Ignorado","Ignorado","Colision","2020"
2020,8,"14","12:00 a 17:59","Tarde","Marzo","Domingo","Santa Rosa","Chiquimulilla","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Pick up","Toyota","Beige","Ignorado","Ignorado","Colision","2020"
2020,8,"14","12:00 a 17:59","Tarde","Marzo","Domingo","Santa Rosa","Chiquimulilla","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Pick up","Toyota","Corinto","Ignorado","Ignorado","Colision","2020"
2020,8,"14","12:00 a 17:59","Tarde","Marzo","Domingo","Izabal","Puerto Barrios","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Derrape","2020"
2020,8,"6","06:00 a 11:59","Mañana","Marzo","Domingo","Guatemala","Mixco","Ignorada","Hombre","25","25-29","25-29","25 - 29","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Derrape","2020"
2020,8,"3","00:00 a 05:59","Mañana","Marzo","Domingo","Petén","San Francisco","Ignorada","Hombre","19","15-19","15-19","15 - 19","Ignorado","Mayor","Motocicleta","Bajaj","Negro","Ignorado","Ignorado","Derrape","2020"
2020,9,"19","18:00 a 23:59","Noche","Marzo","Lunes","Guatemala","Guatemala ","7","Hombre","19","15-19","15-19","15 - 19","Ignorado","Mayor","Motocicleta","Bajaj","Negro","Ignorado","Ignorado","Derrape","2020"
2020,9,"11","06:00 a 11:59","Mañana","Marzo","Lunes","Guatemala","Mixco","Ignorada","Mujer","37","35-39","35-39","35 - 39","Ignorado","Mayor","Automóvil","Toyota","Blanco","2009","2000-2009","Colision","2020"
2020,9,"11","06:00 a 11:59","Mañana","Marzo","Lunes","Guatemala","Mixco","Ignorada","Mujer","29","25-29","25-29","25 - 29","Ignorado","Mayor","Automóvil","Honda","Negro","2010","2010-2019","Colision","2020"
2020,9,"9","06:00 a 11:59","Mañana","Marzo","Lunes","Guatemala","Guatemala ","1","Hombre","68","65-69","60 o más","65 - 69","Ignorado","Mayor","Automóvil","Toyota","Blanco","2008","2000-2009","Colision","2020"
2020,9,"9","06:00 a 11:59","Mañana","Marzo","Lunes","Guatemala","Guatemala ","1","Hombre","32","30-34","30-34","30 - 34","Ignorado","Mayor","Motocicleta","Bajaj","Negro","2017","2010-2019","Colision","2020"
2020,9,"11","06:00 a 11:59","Mañana","Marzo","Lunes","Chiquimula","San Jacinto ","Ignorada","Mujer","20","20-24","20-24","20 - 24","No Ebrio","Mayor","Camioneta","Toyota","Rojo","Ignorado","Ignorado","Vuelco","2020"
2020,9,"22","18:00 a 23:59","Noche","Marzo","Lunes","Zacapa","Teculután","Ignorada","Hombre","21","20-24","20-24","20 - 24","Ebrio","Mayor","Camioneta","Toyota","Gris","Ignorado","Ignorado","Colision","2020"
2020,9,"13","12:00 a 17:59","Tarde","Marzo","Lunes","Zacapa","Gualán","Ignorada","Hombre","29","25-29","25-29","25 - 29","Ignorado","Mayor","Cabezal","Freightliner","Rojo","2000","2000-2009","Colision","2020"
2020,9,"13","12:00 a 17:59","Tarde","Marzo","Lunes","Zacapa","Gualán","Ignorada","Hombre","34","30-34","30-34","30 - 34","Ignorado","Mayor","Pick up","Toyota","Blanco","1991","1990-1999","Colision","2020"
2020,9,"17","12:00 a 17:59","Tarde","Marzo","Lunes","Retalhuleu","Retalhuleu","Ignorada","Hombre","22","20-24","20-24","20 - 24","No Ebrio","Mayor","Automóvil","Nissan","Gris","2004","2000-2009","Colision","2020"
2020,9,"17","12:00 a 17:59","Tarde","Marzo","Lunes","Retalhuleu","Retalhuleu","Ignorada","Hombre","22","20-24","20-24","20 - 24","No Ebrio","Mayor","Motocicleta","Bajaj","Azul","2016","2010-2019","Colision","2020"
2020,9,"15","12:00 a 17:59","Tarde","Marzo","Lunes","El Progreso","San Cristóbal Acasaguastlán ","Ignorada","Ignorado","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Derrape","2020"
2020,9,"16","12:00 a 17:59","Tarde","Marzo","Lunes","Sacatepéquez","Pastores","Ignorada","Hombre","33","30-34","30-34","30 - 34","Ignorado","Mayor","Automóvil","Mazda","Corinto","2012","2010-2019","Colision","2020"
2020,9,"16","12:00 a 17:59","Tarde","Marzo","Lunes","Sacatepéquez","Pastores","Ignorada","Mujer","30","30-34","30-34","30 - 34","Ignorado","Mayor","Motocicleta","Ignorado","Rojo","Ignorado","Ignorado","Colision","2020"
2020,9,"20","18:00 a 23:59","Noche","Marzo","Lunes","Jutiapa","Quesada","Ignorada","Hombre","46","45-49","45-49","45 - 49","Ignorado","Mayor","Motocicleta","Yamaha","Blanco","Ignorado","Ignorado","Colision","2020"
2020,9,"20","18:00 a 23:59","Noche","Marzo","Lunes","Jutiapa","Quesada","Ignorada","Hombre","27","25-29","25-29","25 - 29","Ignorado","Mayor","Camioneta","Honda","Blanco","2005","2000-2009","Colision","2020"
2020,9,"22","18:00 a 23:59","Noche","Marzo","Lunes","Escuintla","Tiquisate","Ignorada","Hombre","25","25-29","25-29","25 - 29","Ignorado","Mayor","Camioneta","Honda","Gris","Ignorado","Ignorado","Colision","2020"
2020,9,"22","18:00 a 23:59","Noche","Marzo","Lunes","Escuintla","Tiquisate","Ignorada","Hombre","26","25-29","25-29","25 - 29","Ignorado","Mayor","Motocicleta","Yamaha","Rojo","Ignorado","Ignorado","Colision","2020"
2020,9,"16","12:00 a 17:59","Tarde","Marzo","Lunes","Escuintla","Escuintla","Ignorada","Hombre","24","20-24","20-24","20 - 24","Ignorado","Mayor","Motocicleta","Asia Hero","Azul","Ignorado","Ignorado","Derrape","2020"
2020,9,"0","00:00 a 05:59","Mañana","Marzo","Lunes","Huehuetenango","San Juan Atitán","Ignorada","Hombre","52","50-54","50-54","50 - 54","Ignorado","Mayor","Pick up","Toyota","Blanco","Ignorado","Ignorado","Colision","2020"
2020,9,"0","00:00 a 05:59","Mañana","Marzo","Lunes","Huehuetenango","San Juan Atitán","Ignorada","Hombre","24","20-24","20-24","20 - 24","Ignorado","Mayor","Motocicleta","Ignorado","Rojo","Ignorado","Ignorado","Colision","2020"
2020,9,"6","06:00 a 11:59","Mañana","Marzo","Lunes","Huehuetenango","Aguacatán","Ignorada","Hombre","34","30-34","30-34","30 - 34","Ignorado","Mayor","Pick up","Toyota","Ignorado","Ignorado","Ignorado","Embarranco","2020"
2020,9,"13","12:00 a 17:59","Tarde","Marzo","Lunes","Guatemala","Villa Nueva","Ignorada","Mujer","36","35-39","35-39","35 - 39","Ignorado","Mayor","Automóvil","Toyota","Blanco","Ignorado","Ignorado","Colision","2020"
2020,9,"13","12:00 a 17:59","Tarde","Marzo","Lunes","Guatemala","Villa Nueva","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Mayor","Motocicleta","Italika","Negro","Ignorado","Ignorado","Colision","2020"
2020,9,"17","12:00 a 17:59","Tarde","Marzo","Lunes","Guatemala","Mixco","Ignorada","Mujer","40","40-44","40-44","40 - 44","Ignorado","Mayor","Automóvil","Toyota","Rojo","2013","2010-2019","Colision","2020"
2020,9,"17","12:00 a 17:59","Tarde","Marzo","Lunes","Guatemala","Mixco","Ignorada","Mujer","17","15-19","15-19","15 - 19","Ignorado","Menor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,9,"1","00:00 a 05:59","Mañana","Marzo","Lunes","Guatemala","Guatemala ","8","Hombre","25","25-29","25-29","25 - 29","Ignorado","Mayor","Motocicleta","Jialing","Rojo","Ignorado","Ignorado","Derrape","2020"
2020,9,"2","00:00 a 05:59","Mañana","Marzo","Lunes","Guatemala","Guatemala ","18","Hombre","23","20-24","20-24","20 - 24","Ignorado","Mayor","Automóvil","Honda","Blanco","Ignorado","Ignorado","Choque","2020"
2020,9,"14","12:00 a 17:59","Tarde","Marzo","Lunes","Guatemala","Mixco","Ignorada","Ignorado","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Automóvil","Toyota","Ignorado","Ignorado","Ignorado","Colision","2020"
2020,9,"14","12:00 a 17:59","Tarde","Marzo","Lunes","Guatemala","Mixco","Ignorada","Hombre","Ignorada","Ignorado","Ignorado","Ignorado","Ignorado","Ignorado","Motocicleta","Bajaj","Ignorado","Ignorado","Ignorado","Colision","2020"
