"año_ocu",dia_ocu,"hora_ocu","g_hora","g_hora_5","mes_ocu",dia_sem_ocu,"mupio_ocu","depto_ocu","zona_ocu","sexo_per","edad_per","g_edad_80ymás","g_edad_60ymás","edad_quinquenales","estado_con","mayor_menor","tipo_veh","marca_veh","color_veh","modelo_veh","g_modelo_veh","tipo_eve","year"
2017,1,"21","18:00 a 23:59","Noche","Septiembre","Viernes","Antigua Guatemala","Sacatepéquez","Ignorada","Hombre","37","35-39","35-39","35 - 39 ","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Colisión","2017"
2017,1,"21","18:00 a 23:59","Noche","Septiembre","Viernes","Antigua Guatemala","Sacatepéquez","Ignorada","Hombre","18","15-19","15-19","15 - 19 ","Ignorado","Mayor","Motocicleta","TVS Apache","Ignorado","Ignorado","Ignorado","Colisión","2017"
2017,1,"14","12:00 a 17:59","Tarde","Septiembre","Viernes","Chuarrancho","Guatemala","Ignorada","Hombre","40","40-44","40-44","40 - 44 ","Ignorado","Mayor","Automóvil","Mitsubishi","Blanco","1990","1990-1999","Colisión","2017"
2017,1,"14","12:00 a 17:59","Tarde","Septiembre","Viernes","Chuarrancho","Guatemala","Ignorada","Mujer","22","20-24","20-24","20 - 24 ","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Colisión","2017"
2017,1,"21","18:00 a 23:59","Noche","Septiembre","Viernes","San Juan Bautista","Suchitepéquez","Ignorada","Hombre","22","20-24","20-24","20 - 24 ","Ignorado","Mayor","Automóvil","Ignorado","Ignorado","Ignorado","Ignorado","Colisión","2017"
2017,1,"21","18:00 a 23:59","Noche","Septiembre","Viernes","San Juan Bautista","Suchitepéquez","Ignorada","Hombre","18","15-19","15-19","15 - 19 ","Ignorado","Mayor","Motocicleta","Honda","Negro","Ignorado","Ignorado","Colisión","2017"
2017,1,"20","18:00 a 23:59","Noche","Septiembre","Viernes","Escuintla","Escuintla","Ignorada","Hombre","21","20-24","20-24","20 - 24 ","Ignorado","Mayor","Motocicleta","Ignorado","Ignorado","Ignorado","Ignorado","Colisión","2017"
2017,1,"20","18:00 a 23:59","Noche","Septiembre","Viernes","Escuintla","Escuintla","Ignorada","Hombre","22","20-24","20-24","20 - 24 ","Ignorado","Mayor","Cabezal","Ignorado","Ignorado","Ignorado","Ignorado","Colisión","2017"
2017,1,"1","00:00 a 05:59","Mañana","Septiembre","Viernes","Guatemala","Guatemala","13","Hombre","35","35-39","35-39","35 - 39 ","Ignorado","Mayor","Motocicleta","Yumbo dakar","Ignorado","Ignorado","Ignorado","Caída","2017"
2017,2,"1","00:00 a 05:59","Mañana","Septiembre","Sábado","Guatemala","Guatemala","9","Hombre","30","30-34","30-34","30 - 34 ","Ignorado","Mayor","Motocicleta","Honda","Verde","Ignorado","Ignorado","Colisión","2017"
2017,2,"1","00:00 a 05:59","Mañana","Septiembre","Sábado","Guatemala","Guatemala","9","Hombre","28","25-29","25-29","25 - 29 ","Ignorado","Mayor","Motocicleta","Freedom","Rojo","1999","1990-1999","Colisión","2017"
2017,2,"0","00:00 a 05:59","Mañana","Septiembre","Sábado","Guatemala","Guatemala","9","Hombre","25","25-29","25-29","25 - 29 ","Ignorado","Mayor","Automóvil","Honda","Azul","Ignorado","Ignorado","Colisión","2017"
2017,2,"0","00:00 a 05:59","Mañana","Septiembre","Sábado","Guatemala","Guatemala","9","Hombre","44","40-44","40-44","40 - 44 ","Ignorado","Mayor","Motocicleta","Italika","Negro","Ignorado","Ignorado","Colisión","2017"
2017,2,"11","06:00 a 11:59","Mañana","Septiembre","Sábado","Guatemala","Guatemala","11","Hombre","29","25-29","25-29","25 - 29 ","Ignorado","Mayor","Camión","Internacional","Blanco","1999","1990-1999","Colisión","2017"
2017,2,"11","06:00 a 11:59","Mañana","Septiembre","Sábado","Guatemala","Guatemala","11","Hombre","57","55-59","55-59","55 - 59 ","Ignorado","Mayor","Microbús","Mazda","Verde","1995","1990-1999","Colisión","2017"
2017,2,"11","06:00 a 11:59","Mañana","Septiembre","Sábado","Petapa","Guatemala","Ignorada","Hombre","21","20-24","20-24","20 - 24 ","Ignorado","Mayor","Automóvil","Mitsubishi","Blanco","Ignorado","Ignorado","Caída","2017"
2017,2,"22","18:00 a 23:59","Noche","Septiembre","Sábado","Río Hondo","Zacapa","Ignorada","Hombre","45","45-49","45-49","45 - 49 ","Ignorado","Mayor","Motocicleta","Freedom","Rojo","Ignorado","Ignorado","Colisión","2017"
2017,2,"22","18:00 a 23:59","Noche","Septiembre","Sábado","Río Hondo","Zacapa","Ignorada","Hombre","39","35-39","35-39","35 - 39 ","Ignorado","Mayor","Cabezal","Ignorado","Blanco","Ignorado","Ignorado","Colisión","2017"
2017,2,"20","18:00 a 23:59","Noche","Septiembre","Sábado","Oratorio","Santa Rosa","Ignorada","Hombre","46","45-49","45-49","45 - 49 ","Ignorado","Mayor","Automóvil","Nissan","Gris","Ignorado","Ignorado","Colisión","2017"
