dia_ocu,hora_ocu,mes_ocu,dia_sem_ocu,depto_ocu,sexo_pil,zona_ocu,edad_pil,estado_pil,mayor_menor,tipo_vehi,marca_vehi,causa_acc,year
2,10,Enero,Sábado,Sololá,Hombre,Ignorada,39,No ebrio,Mayor,Camión,Mitsubishi,Colisión,2016
2,10,Enero,Sábado,Sololá,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Microbús,Toyota,Colisión,2016
2,23,Enero,Sábado,Sololá,Hombre,Ignorada,28,No ebrio,Mayor,Motocicleta,Suzuki,Choque,2016
2,23,Enero,Sábado,Chimaltenango,Hombre,Ignorada,32,Ebrio,Mayor,Automóvil,Toyota,Colisión,2016
2,23,Enero,Sábado,Chimaltenango,Hombre,Ignorada,36,No ebrio,Mayor,Pick up,Toyota,Colisión,2016
2,20,Enero,Sábado,Sacatepéquez,Hombre,Ignorada,28,Ebrio,Mayor,Moto taxi,Autoriksha,Colisión,2016
2,20,Enero,Sábado,Sacatepéquez,Ignorado,Ignorada,Ignorada,No ebrio,Ignorado,Automóvil,Ignorado,Colisión,2016
3,22,Enero,Domingo,Guatemala,Hombre,6,40,No ebrio,Mayor,Camioneta,Mazda,Colisión,2016
3,22,Enero,Domingo,Guatemala,Hombre,6,24,No ebrio,Mayor,Motocicleta,Ignorado,Colisión,2016
3,2,Enero,Domingo,Guatemala,Mujer,11,34,No ebrio,Mayor,Automóvil,Mitsubishi,Colisión,2016
3,2,Enero,Domingo,Guatemala,Hombre,11,24,No ebrio,Mayor,Pick up,Toyota,Colisión,2016
3,20,Enero,Domingo,Guatemala,Ignorado,Ignorada,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Colisión,2016
3,20,Enero,Domingo,Guatemala,Hombre,Ignorada,20,No ebrio,Mayor,Motocicleta,Ignorado,Colisión,2016
3,3,Enero,Domingo,Jutiapa,Hombre,Ignorada,25,Ignorado,Mayor,Motocicleta,Ignorado,Choque,2016
3,6,Enero,Domingo,Jalapa,Hombre,Ignorada,28,Ignorado,Mayor,Pick up,Toyota,Colisión,2016
